DATE,IPG314S
1972-01-01,120.9821
1972-02-01,121.7070
1972-03-01,121.3221
1972-04-01,124.6304
1972-05-01,125.7379
1972-06-01,121.7235
1972-07-01,123.6097
1972-08-01,124.9086
1972-09-01,124.9234
1972-10-01,126.9742
1972-11-01,127.6083
1972-12-01,129.6434
1973-01-01,129.8992
1973-02-01,133.9364
1973-03-01,134.9070
1973-04-01,133.4161
1973-05-01,133.3473
1973-06-01,131.8123
1973-07-01,131.7204
1973-08-01,131.2197
1973-09-01,131.5917
1973-10-01,129.4218
1973-11-01,128.3586
1973-12-01,127.4766
1974-01-01,125.9505
1974-02-01,121.8679
1974-03-01,120.0821
1974-04-01,117.8146
1974-05-01,117.3606
1974-06-01,117.8594
1974-07-01,116.4895
1974-08-01,113.3777
1974-09-01,110.9135
1974-10-01,107.6271
1974-11-01,102.8747
1974-12-01,98.3056
1975-01-01,94.7549
1975-02-01,93.7381
1975-03-01,96.4931
1975-04-01,100.2249
1975-05-01,102.9577
1975-06-01,106.4723
1975-07-01,107.1056
1975-08-01,110.1758
1975-09-01,116.2780
1975-10-01,116.7056
1975-11-01,117.1790
1975-12-01,121.3636
1976-01-01,118.0871
1976-02-01,119.3403
1976-03-01,116.3608
1976-04-01,114.8058
1976-05-01,116.5814
1976-06-01,115.2033
1976-07-01,115.2045
1976-08-01,115.6953
1976-09-01,116.7538
1976-10-01,118.4938
1976-11-01,121.0742
1976-12-01,121.8943
1977-01-01,125.6395
1977-02-01,130.7791
1977-03-01,132.2075
1977-04-01,133.1808
1977-05-01,136.5762
1977-06-01,137.8469
1977-07-01,139.7862
1977-08-01,140.3288
1977-09-01,140.8653
1977-10-01,144.0452
1977-11-01,144.7762
1977-12-01,144.6211
1978-01-01,141.1048
1978-02-01,140.6175
1978-03-01,141.3914
1978-04-01,143.3025
1978-05-01,143.7988
1978-06-01,143.1832
1978-07-01,145.6827
1978-08-01,144.2367
1978-09-01,142.8578
1978-10-01,142.5576
1978-11-01,142.9681
1978-12-01,143.6006
1979-01-01,140.8736
1979-02-01,140.0482
1979-03-01,142.0104
1979-04-01,140.1153
1979-05-01,144.1478
1979-06-01,146.2878
1979-07-01,149.2462
1979-08-01,141.2486
1979-09-01,141.1217
1979-10-01,142.8582
1979-11-01,140.9947
1979-12-01,142.2554
1980-01-01,142.5336
1980-02-01,139.0013
1980-03-01,136.8563
1980-04-01,130.4740
1980-05-01,123.1011
1980-06-01,119.8954
1980-07-01,119.5824
1980-08-01,122.4576
1980-09-01,122.6449
1980-10-01,124.6914
1980-11-01,130.6970
1980-12-01,132.9681
1981-01-01,129.7581
1981-02-01,126.7860
1981-03-01,125.4350
1981-04-01,127.8699
1981-05-01,131.2093
1981-06-01,130.3001
1981-07-01,128.6759
1981-08-01,128.3963
1981-09-01,127.4661
1981-10-01,124.3045
1981-11-01,122.8360
1981-12-01,123.2724
1982-01-01,115.6320
1982-02-01,126.6002
1982-03-01,127.1622
1982-04-01,125.1967
1982-05-01,125.4360
1982-06-01,125.2017
1982-07-01,126.2760
1982-08-01,126.7271
1982-09-01,127.7007
1982-10-01,127.4736
1982-11-01,127.2430
1982-12-01,125.2343
1983-01-01,126.6517
1983-02-01,130.8973
1983-03-01,136.3935
1983-04-01,136.3829
1983-05-01,141.5328
1983-06-01,142.0537
1983-07-01,142.8583
1983-08-01,151.3284
1983-09-01,148.3060
1983-10-01,145.0537
1983-11-01,144.7445
1983-12-01,152.3278
1984-01-01,152.2499
1984-02-01,153.2527
1984-03-01,154.4118
1984-04-01,159.2579
1984-05-01,159.0315
1984-06-01,157.2882
1984-07-01,157.8236
1984-08-01,155.6187
1984-09-01,155.6287
1984-10-01,157.7502
1984-11-01,156.9467
1984-12-01,152.6522
1985-01-01,151.7694
1985-02-01,155.5450
1985-03-01,158.8412
1985-04-01,158.2195
1985-05-01,156.5453
1985-06-01,157.5465
1985-07-01,159.3018
1985-08-01,159.1748
1985-09-01,159.6308
1985-10-01,160.7113
1985-11-01,161.7231
1985-12-01,164.7410
1986-01-01,159.8957
1986-02-01,158.4020
1986-03-01,158.7141
1986-04-01,158.3173
1986-05-01,160.1486
1986-06-01,160.6927
1986-07-01,164.1968
1986-08-01,165.0865
1986-09-01,166.1028
1986-10-01,166.4746
1986-11-01,173.1919
1986-12-01,172.5957
1987-01-01,173.6686
1987-02-01,175.2392
1987-03-01,174.0816
1987-04-01,169.3358
1987-05-01,173.0811
1987-06-01,171.4994
1987-07-01,171.3698
1987-08-01,177.7248
1987-09-01,172.7586
1987-10-01,175.2870
1987-11-01,171.1389
1987-12-01,171.8592
1988-01-01,174.4179
1988-02-01,171.0372
1988-03-01,169.6352
1988-04-01,174.2589
1988-05-01,171.7082
1988-06-01,171.3017
1988-07-01,170.6140
1988-08-01,170.1154
1988-09-01,169.7254
1988-10-01,170.3129
