DATE,IPG327S
1972-01-01,84.4123
1972-02-01,84.4060
1972-03-01,84.5838
1972-04-01,84.6295
1972-05-01,84.8282
1972-06-01,85.2251
1972-07-01,85.6058
1972-08-01,86.9164
1972-09-01,86.6163
1972-10-01,87.3006
1972-11-01,86.6839
1972-12-01,86.2021
1973-01-01,87.7026
1973-02-01,90.0823
1973-03-01,91.8047
1973-04-01,91.9646
1973-05-01,92.0998
1973-06-01,92.0919
1973-07-01,92.6818
1973-08-01,92.2988
1973-09-01,92.2907
1973-10-01,92.2203
1973-11-01,93.0192
1973-12-01,94.5779
1974-01-01,94.1999
1974-02-01,94.1367
1974-03-01,93.4477
1974-04-01,93.1830
1974-05-01,92.7418
1974-06-01,92.3574
1974-07-01,91.4342
1974-08-01,90.3131
1974-09-01,89.5458
1974-10-01,89.0774
1974-11-01,86.7917
1974-12-01,83.2645
1975-01-01,83.5718
1975-02-01,80.7033
1975-03-01,77.4736
1975-04-01,78.1630
1975-05-01,79.2919
1975-06-01,79.2902
1975-07-01,81.2424
1975-08-01,81.7275
1975-09-01,84.2385
1975-10-01,83.5990
1975-11-01,83.3920
1975-12-01,83.7446
1976-01-01,84.9588
1976-02-01,85.3102
1976-03-01,85.0240
1976-04-01,85.6195
1976-05-01,85.6312
1976-06-01,85.8910
1976-07-01,85.7984
1976-08-01,85.8956
1976-09-01,86.2109
1976-10-01,86.2077
1976-11-01,86.7247
1976-12-01,87.3777
1977-01-01,83.5327
1977-02-01,85.9524
1977-03-01,89.9081
1977-04-01,91.2599
1977-05-01,91.5969
1977-06-01,92.5812
1977-07-01,93.9904
1977-08-01,93.8504
1977-09-01,92.2462
1977-10-01,92.4678
1977-11-01,94.5864
1977-12-01,95.1962
1978-01-01,92.9754
1978-02-01,92.5643
1978-03-01,95.2582
1978-04-01,98.8377
1978-05-01,99.2512
1978-06-01,99.0019
1978-07-01,98.4139
1978-08-01,98.3684
1978-09-01,97.7736
1978-10-01,98.5347
1978-11-01,98.5459
1978-12-01,100.0784
1979-01-01,95.9748
1979-02-01,96.3203
1979-03-01,98.9178
1979-04-01,98.1714
1979-05-01,99.8410
1979-06-01,99.4707
1979-07-01,97.7656
1979-08-01,97.3919
1979-09-01,94.2720
1979-10-01,96.7705
1979-11-01,96.0232
1979-12-01,96.5897
1980-01-01,94.9027
1980-02-01,92.8631
1980-03-01,89.8387
1980-04-01,87.2998
1980-05-01,84.4875
1980-06-01,84.5648
1980-07-01,83.3985
1980-08-01,84.5176
1980-09-01,86.4119
1980-10-01,87.1701
1980-11-01,88.8038
1980-12-01,88.5611
1981-01-01,87.5266
1981-02-01,86.8985
1981-03-01,86.4388
1981-04-01,86.9968
1981-05-01,86.6155
1981-06-01,85.1607
1981-07-01,84.5565
1981-08-01,83.9307
1981-09-01,82.9426
1981-10-01,80.5293
1981-11-01,79.4273
1981-12-01,77.2940
1982-01-01,74.1850
1982-02-01,75.7351
1982-03-01,75.5124
1982-04-01,74.4418
1982-05-01,73.8149
1982-06-01,75.0526
1982-07-01,74.1097
1982-08-01,74.6314
1982-09-01,74.1151
1982-10-01,73.6546
1982-11-01,73.8305
1982-12-01,73.3234
1983-01-01,75.6897
1983-02-01,75.6073
1983-03-01,76.7451
1983-04-01,77.4150
1983-05-01,78.7402
1983-06-01,79.9026
1983-07-01,81.3912
1983-08-01,82.1536
1983-09-01,83.3683
1983-10-01,83.6742
1983-11-01,82.9484
1983-12-01,81.7480
1984-01-01,84.6608
1984-02-01,87.7539
1984-03-01,85.2736
1984-04-01,85.1754
1984-05-01,85.8520
1984-06-01,85.9538
1984-07-01,86.4126
1984-08-01,86.3293
1984-09-01,86.6043
1984-10-01,86.7724
1984-11-01,87.7173
1984-12-01,87.2283
1985-01-01,85.6039
1985-02-01,84.9059
1985-03-01,86.2333
1985-04-01,87.6700
1985-05-01,87.8176
1985-06-01,88.3099
1985-07-01,89.2134
1985-08-01,88.6557
1985-09-01,89.2311
1985-10-01,89.5851
1985-11-01,87.9228
1985-12-01,89.5193
1986-01-01,91.7053
