DATE,IPG212S
1972-01-01,80.5385
1972-02-01,77.8642
1972-03-01,77.9629
1972-04-01,78.7527
1972-05-01,76.7678
1972-06-01,76.8989
1972-07-01,76.5942
1972-08-01,78.5606
1972-09-01,77.6745
1972-10-01,77.9762
1972-11-01,78.0357
1972-12-01,77.7379
1973-01-01,78.8228
1973-02-01,79.1792
1973-03-01,79.3935
1973-04-01,79.5685
1973-05-01,79.9031
1973-06-01,80.1276
1973-07-01,83.2860
1973-08-01,83.2366
1973-09-01,81.7111
1973-10-01,81.4447
1973-11-01,80.3738
1973-12-01,84.1588
1974-01-01,83.9322
1974-02-01,83.8927
1974-03-01,82.2355
1974-04-01,81.7269
1974-05-01,83.4836
1974-06-01,81.6203
1974-07-01,82.4818
1974-08-01,76.7492
1974-09-01,80.7832
1974-10-01,83.3077
1974-11-01,65.6388
1974-12-01,71.6846
1975-01-01,84.9574
1975-02-01,82.0152
1975-03-01,77.1552
1975-04-01,76.6259
1975-05-01,77.5549
1975-06-01,80.3844
1975-07-01,75.6428
1975-08-01,77.7462
1975-09-01,76.5338
1975-10-01,77.2682
1975-11-01,80.4056
1975-12-01,79.7062
1976-01-01,83.3985
1976-02-01,85.1409
1976-03-01,81.4573
1976-04-01,82.1889
1976-05-01,82.4414
1976-06-01,80.4011
1976-07-01,77.0798
1976-08-01,80.9231
1976-09-01,81.4252
1976-10-01,81.7094
1976-11-01,82.1857
1976-12-01,84.7696
1977-01-01,78.6386
1977-02-01,82.5743
1977-03-01,87.8290
1977-04-01,86.1970
1977-05-01,86.1788
1977-06-01,82.9575
1977-07-01,84.5709
1977-08-01,76.0114
1977-09-01,83.1298
1977-10-01,83.2821
1977-11-01,86.0538
1977-12-01,60.3434
1978-01-01,55.0311
1978-02-01,56.6688
1978-03-01,66.1427
1978-04-01,91.3019
1978-05-01,91.5629
1978-06-01,88.9624
1978-07-01,91.9584
1978-08-01,89.2984
1978-09-01,84.2830
1978-10-01,92.5797
1978-11-01,94.1186
1978-12-01,92.7999
1979-01-01,88.5199
1979-02-01,89.9231
1979-03-01,91.0912
1979-04-01,93.0443
1979-05-01,90.4602
1979-06-01,91.8672
1979-07-01,89.2809
1979-08-01,92.7584
1979-09-01,90.4512
1979-10-01,93.0273
1979-11-01,90.7265
1979-12-01,92.9366
1980-01-01,97.9123
1980-02-01,94.8088
1980-03-01,95.0273
1980-04-01,92.9402
1980-05-01,91.7000
1980-06-01,92.6819
1980-07-01,84.9670
1980-08-01,82.3260
1980-09-01,82.0403
1980-10-01,82.6391
1980-11-01,90.2692
