DATE,IPG332S
1972-01-01,67.4075
1972-02-01,68.0881
1972-03-01,68.6580
1972-04-01,69.1104
1972-05-01,69.7273
1972-06-01,70.5992
1972-07-01,70.5617
1972-08-01,71.0499
1972-09-01,72.3612
1972-10-01,72.6663
1972-11-01,73.8612
1972-12-01,74.4676
1973-01-01,75.8107
1973-02-01,77.0084
1973-03-01,77.3939
1973-04-01,77.5938
1973-05-01,78.1750
1973-06-01,78.3827
1973-07-01,78.8232
1973-08-01,78.5174
1973-09-01,78.5525
1973-10-01,79.0682
1973-11-01,79.3779
1973-12-01,78.7980
1974-01-01,78.7581
1974-02-01,78.0095
1974-03-01,77.7406
1974-04-01,77.7869
1974-05-01,77.9920
1974-06-01,77.5297
1974-07-01,77.5393
1974-08-01,77.2436
1974-09-01,76.7050
1974-10-01,75.8929
1974-11-01,74.1601
1974-12-01,72.1123
1975-01-01,70.2162
1975-02-01,67.6072
1975-03-01,65.8004
1975-04-01,65.6063
1975-05-01,65.0945
1975-06-01,64.6555
1975-07-01,64.3353
1975-08-01,65.6890
1975-09-01,66.5386
1975-10-01,67.0542
1975-11-01,66.3329
1975-12-01,66.9096
1976-01-01,67.8193
1976-02-01,68.9237
1976-03-01,68.8319
1976-04-01,69.8317
1976-05-01,70.4229
1976-06-01,70.7645
1976-07-01,71.6126
1976-08-01,72.0692
1976-09-01,73.2702
1976-10-01,72.6188
1976-11-01,73.1560
1976-12-01,73.7977
1977-01-01,73.3595
1977-02-01,74.3700
1977-03-01,75.4843
1977-04-01,76.0258
1977-05-01,76.9765
1977-06-01,77.3150
1977-07-01,78.3201
1977-08-01,78.6469
1977-09-01,78.2202
1977-10-01,78.9038
1977-11-01,78.7413
1977-12-01,79.0182
1978-01-01,78.6363
1978-02-01,78.8305
1978-03-01,79.3858
1978-04-01,80.6545
1978-05-01,80.4716
1978-06-01,80.5935
1978-07-01,80.6704
1978-08-01,80.9679
1978-09-01,81.6465
1978-10-01,82.1762
1978-11-01,82.8062
1978-12-01,83.9834
1979-01-01,83.9308
1979-02-01,84.8049
1979-03-01,85.1165
1979-04-01,83.9005
1979-05-01,84.4103
1979-06-01,85.0705
1979-07-01,84.6367
1979-08-01,83.8536
1979-09-01,84.5473
1979-10-01,84.4628
1979-11-01,84.5793
1979-12-01,84.4860
1980-01-01,85.1987
1980-02-01,83.8522
1980-03-01,83.4963
1980-04-01,82.3111
1980-05-01,78.6033
1980-06-01,76.6827
1980-07-01,76.0866
1980-08-01,76.3426
1980-09-01,77.2007
1980-10-01,77.9697
1980-11-01,78.9596
1980-12-01,79.4747
1981-01-01,78.9018
1981-02-01,79.2502
1981-03-01,79.4606
1981-04-01,79.9182
1981-05-01,79.9803
1981-06-01,79.9458
1981-07-01,80.1623
1981-08-01,79.7918
1981-09-01,79.7434
1981-10-01,78.7359
1981-11-01,77.5796
1981-12-01,76.1733
1982-01-01,73.9218
1982-02-01,75.0997
1982-03-01,73.8508
1982-04-01,72.3510
1982-05-01,71.9033
1982-06-01,70.9621
1982-07-01,70.1622
1982-08-01,70.1191
1982-09-01,69.5460
1982-10-01,68.2629
1982-11-01,67.3412
1982-12-01,67.0226
1983-01-01,67.8376
1983-02-01,68.0260
1983-03-01,68.5367
1983-04-01,69.8890
1983-05-01,70.1338
1983-06-01,70.6018
1983-07-01,71.6703
1983-08-01,72.4700
1983-09-01,73.6497
1983-10-01,74.1938
1983-11-01,74.6581
1983-12-01,75.3115
1984-01-01,75.9161
1984-02-01,76.2194
1984-03-01,76.7385
1984-04-01,76.9657
1984-05-01,77.4348
1984-06-01,78.1334
1984-07-01,78.4070
1984-08-01,78.6589
1984-09-01,78.3695
1984-10-01,78.5677
1984-11-01,78.4248
1984-12-01,78.7544
1985-01-01,78.1561
1985-02-01,78.5684
1985-03-01,79.1196
1985-04-01,78.9734
1985-05-01,79.0714
1985-06-01,78.9827
1985-07-01,78.3468
1985-08-01,78.9091
1985-09-01,78.7790
1985-10-01,78.3592
1985-11-01,78.8316
1985-12-01,79.1839
1986-01-01,79.1172
1986-02-01,78.8907
1986-03-01,78.6727
1986-04-01,78.6061
1986-05-01,78.5583
1986-06-01,77.9384
1986-07-01,78.2111
1986-08-01,77.8203
1986-09-01,78.1407
1986-10-01,77.9884
1986-11-01,77.0110
1986-12-01,77.9386
1987-01-01,77.5042
1987-02-01,78.1515
1987-03-01,78.4016
1987-04-01,79.0188
1987-05-01,79.1803
1987-06-01,79.4378
1987-07-01,79.4123
1987-08-01,79.7316
1987-09-01,80.1217
1987-10-01,81.7178
1987-11-01,82.1697
1987-12-01,82.2043
1988-01-01,82.9869
1988-02-01,82.9725
1988-03-01,83.2058
1988-04-01,83.4586
1988-05-01,83.4814
1988-06-01,83.9880
1988-07-01,84.4988
1988-08-01,83.7545
1988-09-01,84.1331
1988-10-01,84.0766
1988-11-01,84.5251
1988-12-01,84.3834
1989-01-01,84.9502
1989-02-01,84.6944
1989-03-01,84.3874
1989-04-01,83.7878
1989-05-01,83.5698
1989-06-01,83.3670
1989-07-01,82.3356
1989-08-01,82.2242
1989-09-01,82.6458
1989-10-01,81.5447
1989-11-01,82.1214
1989-12-01,82.0564
1990-01-01,82.5977
1990-02-01,82.5290
1990-03-01,82.5649
1990-04-01,82.5441
1990-05-01,82.8099
1990-06-01,82.5194
1990-07-01,82.6312
1990-08-01,82.7969
1990-09-01,82.1198
1990-10-01,81.5220
1990-11-01,80.7172
