DATE,IPG337S
1972-01-01,70.7071
1972-02-01,70.6573
1972-03-01,70.8544
1972-04-01,71.9206
1972-05-01,72.0746
1972-06-01,72.3500
1972-07-01,73.7372
1972-08-01,74.1011
1972-09-01,74.3462
1972-10-01,75.8315
1972-11-01,76.6508
1972-12-01,77.1104
1973-01-01,75.6897
1973-02-01,77.5143
1973-03-01,77.7368
1973-04-01,77.4230
1973-05-01,76.7718
1973-06-01,77.6777
1973-07-01,77.2291
1973-08-01,77.1266
1973-09-01,76.7325
1973-10-01,76.5855
1973-11-01,76.2132
1973-12-01,76.3224
1974-01-01,76.3013
1974-02-01,74.3003
1974-03-01,74.4753
1974-04-01,73.3684
1974-05-01,73.5275
1974-06-01,73.3247
1974-07-01,71.9467
1974-08-01,71.3273
1974-09-01,69.6932
1974-10-01,67.4858
1974-11-01,64.3450
1974-12-01,62.6741
1975-01-01,57.2913
1975-02-01,54.9223
1975-03-01,54.8220
1975-04-01,56.3878
1975-05-01,58.7171
1975-06-01,59.9014
1975-07-01,61.4646
1975-08-01,64.1670
1975-09-01,65.6405
1975-10-01,65.6461
1975-11-01,66.6152
1975-12-01,66.8181
1976-01-01,67.7120
1976-02-01,67.9103
1976-03-01,67.0541
1976-04-01,67.2032
1976-05-01,67.5099
1976-06-01,66.8644
1976-07-01,68.6641
1976-08-01,68.0080
1976-09-01,68.8005
1976-10-01,68.5502
1976-11-01,68.4441
1976-12-01,68.9932
1977-01-01,70.4521
1977-02-01,73.2826
1977-03-01,75.1877
1977-04-01,74.8434
1977-05-01,76.3970
1977-06-01,77.6972
1977-07-01,79.8410
1977-08-01,79.6212
1977-09-01,80.5607
1977-10-01,81.9043
1977-11-01,81.9068
1977-12-01,82.9734
1978-01-01,80.8186
1978-02-01,83.8080
1978-03-01,83.2035
1978-04-01,84.2565
1978-05-01,84.8033
1978-06-01,84.4498
1978-07-01,83.7954
1978-08-01,84.3515
1978-09-01,84.0753
1978-10-01,84.9297
1978-11-01,84.9942
1978-12-01,83.9545
1979-01-01,84.3516
1979-02-01,83.6485
1979-03-01,84.1483
1979-04-01,83.2376
1979-05-01,83.6062
1979-06-01,81.5989
1979-07-01,82.0413
1979-08-01,82.5911
1979-09-01,83.1173
1979-10-01,84.9332
1979-11-01,85.0306
1979-12-01,86.9752
