DATE,IPG335S
1972-01-01,78.5105
1972-02-01,79.4376
1972-03-01,77.8712
1972-04-01,79.1232
1972-05-01,78.3226
1972-06-01,78.0855
1972-07-01,79.1658
1972-08-01,79.1222
1972-09-01,80.0660
1972-10-01,82.3321
1972-11-01,84.0704
1972-12-01,87.3907
1973-01-01,88.1028
1973-02-01,87.8424
1973-03-01,89.3849
1973-04-01,88.7683
1973-05-01,89.3342
1973-06-01,90.0851
1973-07-01,91.4135
1973-08-01,89.8178
1973-09-01,91.8296
1973-10-01,92.7618
1973-11-01,92.8299
1973-12-01,91.9566
1974-01-01,91.3479
1974-02-01,89.2181
1974-03-01,90.1309
1974-04-01,90.1785
1974-05-01,91.0478
1974-06-01,90.7077
1974-07-01,91.2229
1974-08-01,90.3787
1974-09-01,88.6310
1974-10-01,85.5826
1974-11-01,82.6962
1974-12-01,77.4100
1975-01-01,74.2196
1975-02-01,73.2534
1975-03-01,70.9995
1975-04-01,70.3351
1975-05-01,69.2204
1975-06-01,68.3665
1975-07-01,69.3731
1975-08-01,69.3965
1975-09-01,70.2432
1975-10-01,70.9941
1975-11-01,71.5303
1975-12-01,72.6069
1976-01-01,75.8074
1976-02-01,77.2660
1976-03-01,78.2260
1976-04-01,79.2123
1976-05-01,79.5521
1976-06-01,79.9503
1976-07-01,79.8350
1976-08-01,81.0617
1976-09-01,80.4695
1976-10-01,82.4588
1976-11-01,83.9258
1976-12-01,81.3431
1977-01-01,84.2570
1977-02-01,83.9566
1977-03-01,86.2632
1977-04-01,87.2609
1977-05-01,88.2420
1977-06-01,89.6145
1977-07-01,87.8597
1977-08-01,89.4864
1977-09-01,90.1210
1977-10-01,89.4403
1977-11-01,89.4631
1977-12-01,92.1240
1978-01-01,91.2237
1978-02-01,90.6886
1978-03-01,90.7956
1978-04-01,92.8714
1978-05-01,93.8480
1978-06-01,94.5013
1978-07-01,94.0327
1978-08-01,94.6270
1978-09-01,95.0529
1978-10-01,95.1836
1978-11-01,94.2116
1978-12-01,95.5271
1979-01-01,96.3646
1979-02-01,98.4048
1979-03-01,97.7587
1979-04-01,95.4571
1979-05-01,97.0581
1979-06-01,97.4036
1979-07-01,96.9704
1979-08-01,94.1393
1979-09-01,97.5542
1979-10-01,97.4518
1979-11-01,98.6852
1979-12-01,101.5119
1980-01-01,98.8667
1980-02-01,97.1504
1980-03-01,96.1075
1980-04-01,93.7603
1980-05-01,88.3647
1980-06-01,86.6400
1980-07-01,86.0466
1980-08-01,89.1496
1980-09-01,88.9166
1980-10-01,90.5616
1980-11-01,92.4109
1980-12-01,91.2544
1981-01-01,90.9675
1981-02-01,89.5930
1981-03-01,90.4992
1981-04-01,90.8842
1981-05-01,92.8702
1981-06-01,92.1608
1981-07-01,92.8528
1981-08-01,91.8935
1981-09-01,91.6387
1981-10-01,90.6922
1981-11-01,87.7343
1981-12-01,83.7390
1982-01-01,84.4621
1982-02-01,87.9156
1982-03-01,84.5508
1982-04-01,85.1870
1982-05-01,83.7182
1982-06-01,83.0112
1982-07-01,80.8102
1982-08-01,79.2693
1982-09-01,77.8988
1982-10-01,77.6876
1982-11-01,77.4629
1982-12-01,75.6396
1983-01-01,78.2836
1983-02-01,77.8345
1983-03-01,80.6186
1983-04-01,81.3304
1983-05-01,82.6403
1983-06-01,83.5110
1983-07-01,84.5263
1983-08-01,84.8054
1983-09-01,88.3568
1983-10-01,88.3974
1983-11-01,90.2220
1983-12-01,90.0991
1984-01-01,93.6086
1984-02-01,94.6753
1984-03-01,94.9881
1984-04-01,93.6762
1984-05-01,92.5075
1984-06-01,94.5089
1984-07-01,95.1547
1984-08-01,95.5280
1984-09-01,95.0026
1984-10-01,96.4056
1984-11-01,96.1446
1984-12-01,95.4053
1985-01-01,92.8602
1985-02-01,94.8114
1985-03-01,94.1988
1985-04-01,92.9449
1985-05-01,94.1752
1985-06-01,93.3553
1985-07-01,92.7322
1985-08-01,93.6286
1985-09-01,93.5673
1985-10-01,91.1557
1985-11-01,92.0598
1985-12-01,94.1168
1986-01-01,94.9962
1986-02-01,94.5245
1986-03-01,95.0110
1986-04-01,96.0961
1986-05-01,95.5283
1986-06-01,94.7889
1986-07-01,94.6689
1986-08-01,94.2964
1986-09-01,94.1817
1986-10-01,94.9616
1986-11-01,94.5749
1986-12-01,96.7532
1987-01-01,93.3050
1987-02-01,94.2405
1987-03-01,94.9792
1987-04-01,95.1618
1987-05-01,95.1417
1987-06-01,96.8730
1987-07-01,95.9132
1987-08-01,97.2046
1987-09-01,96.8564
1987-10-01,98.7962
1987-11-01,98.6129
1987-12-01,98.4210
1988-01-01,100.0770
1988-02-01,101.1630
1988-03-01,100.3341
1988-04-01,100.2096
1988-05-01,101.5157
1988-06-01,100.9171
1988-07-01,100.4372
1988-08-01,100.0748
1988-09-01,100.9282
1988-10-01,102.3227
1988-11-01,103.0162
1988-12-01,101.7109
1989-01-01,102.3117
1989-02-01,101.2369
1989-03-01,100.1238
1989-04-01,99.8115
1989-05-01,98.9350
1989-06-01,98.5696
1989-07-01,99.6958
1989-08-01,98.6274
1989-09-01,99.1229
1989-10-01,98.4010
1989-11-01,97.5623
1989-12-01,97.1966
1990-01-01,99.5803
1990-02-01,98.1412
1990-03-01,99.7067
1990-04-01,98.7269
1990-05-01,98.7239
1990-06-01,96.7872
1990-07-01,95.9347
1990-08-01,97.3156
1990-09-01,95.7486
1990-10-01,94.3155
1990-11-01,93.7147
1990-12-01,92.3429
1991-01-01,91.6513
1991-02-01,89.8346
1991-03-01,89.2942
1991-04-01,90.4510
1991-05-01,90.3167
1991-06-01,92.3439
1991-07-01,91.3317
1991-08-01,91.8209
1991-09-01,92.6704
1991-10-01,92.7750
1991-11-01,94.1554
1991-12-01,94.1101
1992-01-01,92.5142
1992-02-01,95.5497
1992-03-01,95.5363
1992-04-01,96.1130
1992-05-01,96.9771
1992-06-01,97.4600
1992-07-01,96.9377
1992-08-01,98.2429
1992-09-01,98.3287
1992-10-01,98.9328
1992-11-01,99.8857
1992-12-01,100.4980
1993-01-01,99.7143
1993-02-01,100.4189
1993-03-01,102.3780
1993-04-01,102.6554
1993-05-01,102.7984
1993-06-01,102.0407
1993-07-01,103.0616
1993-08-01,103.0367
1993-09-01,104.5461
1993-10-01,106.0105
1993-11-01,105.9511
1993-12-01,106.6721
1994-01-01,108.6097
1994-02-01,109.6749
1994-03-01,109.5320
1994-04-01,110.3655
1994-05-01,109.9488
1994-06-01,110.4045
1994-07-01,110.4952
1994-08-01,112.0652
1994-09-01,112.4713
1994-10-01,112.1196
1994-11-01,111.0119
1994-12-01,113.2049
1995-01-01,112.6760
1995-02-01,112.0938
1995-03-01,112.5590
1995-04-01,111.5913
1995-05-01,113.8062
1995-06-01,113.0011
1995-07-01,111.9722
1995-08-01,114.3960
1995-09-01,114.1015
1995-10-01,114.8110
1995-11-01,115.6724
1995-12-01,115.7013
1996-01-01,114.8951
1996-02-01,117.1286
1996-03-01,116.6245
1996-04-01,115.8655
1996-05-01,115.9937
1996-06-01,117.1434
1996-07-01,117.0494
1996-08-01,118.0899
1996-09-01,117.8930
1996-10-01,116.9623
1996-11-01,117.7051
1996-12-01,117.8165
1997-01-01,117.8942
1997-02-01,119.2661
1997-03-01,120.3522
1997-04-01,120.1754
1997-05-01,120.9810
1997-06-01,121.2513
1997-07-01,121.1736
1997-08-01,121.6312
1997-09-01,121.6084
1997-10-01,122.7895
1997-11-01,124.3527
1997-12-01,123.8918
1998-01-01,125.5647
1998-02-01,125.4926
1998-03-01,125.0082
1998-04-01,124.3839
1998-05-01,126.4540
1998-06-01,126.5268
1998-07-01,125.5244
1998-08-01,125.7246
1998-09-01,126.1322
1998-10-01,126.7417
1998-11-01,126.4387
1998-12-01,125.2446
1999-01-01,127.0962
1999-02-01,126.8596
1999-03-01,125.1243
1999-04-01,126.7611
1999-05-01,125.9424
1999-06-01,124.5369
1999-07-01,127.7793
1999-08-01,127.7282
1999-09-01,126.8380
1999-10-01,130.7387
1999-11-01,132.0879
1999-12-01,131.0376
2000-01-01,133.0306
2000-02-01,133.6170
2000-03-01,134.8969
2000-04-01,135.5284
2000-05-01,134.1160
2000-06-01,135.2500
2000-07-01,135.5248
2000-08-01,133.4894
2000-09-01,135.8390
2000-10-01,133.4960
2000-11-01,133.0020
2000-12-01,132.2668
2001-01-01,131.3774
2001-02-01,128.5846
2001-03-01,126.3081
2001-04-01,125.0823
2001-05-01,122.2963
2001-06-01,120.9778
2001-07-01,119.2323
2001-08-01,119.3362
2001-09-01,117.2859
2001-10-01,114.6524
2001-11-01,112.1536
2001-12-01,112.3012
2002-01-01,111.9970
2002-02-01,111.4461
2002-03-01,112.9681
2002-04-01,112.5935
2002-05-01,112.8461
2002-06-01,112.3431
2002-07-01,111.0298
2002-08-01,110.4901
2002-09-01,109.4792
2002-10-01,110.1122
2002-11-01,110.6014
2002-12-01,111.2446
2003-01-01,109.6696
2003-02-01,110.2822
2003-03-01,109.3659
2003-04-01,108.0596
2003-05-01,109.0797
2003-06-01,109.2501
2003-07-01,106.8836
2003-08-01,108.3446
2003-09-01,107.6443
2003-10-01,108.0578
2003-11-01,108.4007
2003-12-01,108.5692
2004-01-01,107.9106
2004-02-01,108.6734
2004-03-01,108.8009
2004-04-01,109.9459
2004-05-01,109.9958
2004-06-01,110.2136
2004-07-01,110.3528
2004-08-01,110.9991
2004-09-01,111.4906
2004-10-01,111.7003
2004-11-01,113.0447
2004-12-01,113.0706
2005-01-01,113.4586
2005-02-01,112.9115
2005-03-01,111.6997
2005-04-01,110.9741
2005-05-01,111.5487
2005-06-01,111.6500
2005-07-01,111.3382
2005-08-01,112.4845
2005-09-01,113.3641
2005-10-01,113.8015
2005-11-01,113.4863
2005-12-01,112.0014
2006-01-01,113.7633
2006-02-01,112.3450
2006-03-01,112.7104
2006-04-01,113.2330
2006-05-01,113.1419
2006-06-01,112.0108
2006-07-01,113.7447
2006-08-01,113.9803
2006-09-01,112.0468
2006-10-01,112.2827
2006-11-01,112.5783
2006-12-01,115.1520
2007-01-01,115.0925
2007-02-01,116.8824
2007-03-01,117.2406
2007-04-01,118.3749
2007-05-01,118.0671
2007-06-01,119.2292
2007-07-01,119.1800
2007-08-01,117.8226
2007-09-01,118.4974
2007-10-01,116.6590
2007-11-01,117.6677
2007-12-01,118.9947
2008-01-01,120.1085
2008-02-01,118.2717
2008-03-01,119.0799
2008-04-01,117.7427
2008-05-01,116.8094
2008-06-01,116.5527
2008-07-01,114.4591
2008-08-01,112.6490
2008-09-01,109.1086
2008-10-01,107.3374
2008-11-01,104.2846
2008-12-01,100.7095
2009-01-01,97.6840
2009-02-01,93.9441
2009-03-01,90.3567
2009-04-01,88.7633
2009-05-01,87.3177
2009-06-01,86.5150
2009-07-01,86.6286
2009-08-01,87.5429
2009-09-01,88.4866
2009-10-01,87.7708
2009-11-01,87.5954
2009-12-01,86.3958
2010-01-01,90.2688
2010-02-01,89.6722
2010-03-01,91.5136
2010-04-01,92.9541
2010-05-01,92.2594
2010-06-01,92.6403
2010-07-01,92.3009
2010-08-01,93.1647
2010-09-01,92.4312
2010-10-01,94.0219
2010-11-01,94.7866
2010-12-01,95.5795
2011-01-01,95.9922
2011-02-01,96.9145
2011-03-01,98.0618
2011-04-01,96.9624
2011-05-01,96.7809
2011-06-01,97.1417
2011-07-01,95.9965
2011-08-01,96.9770
2011-09-01,97.4984
2011-10-01,99.3756
2011-11-01,97.3047
2011-12-01,97.1944
2012-01-01,98.3330
2012-02-01,99.1243
2012-03-01,99.5434
2012-04-01,100.1278
2012-05-01,100.4271
2012-06-01,99.4721
2012-07-01,99.3103
2012-08-01,98.8950
2012-09-01,99.9318
2012-10-01,99.0030
2012-11-01,100.3640
2012-12-01,99.0189
2013-01-01,98.7580
2013-02-01,99.5245
2013-03-01,99.0174
2013-04-01,98.8523
2013-05-01,99.0680
2013-06-01,99.3760
2013-07-01,99.4154
2013-08-01,99.7377
2013-09-01,99.4551
2013-10-01,99.9476
2013-11-01,100.3296
2013-12-01,99.8007
2014-01-01,99.3387
2014-02-01,99.6354
2014-03-01,100.8734
2014-04-01,100.1952
2014-05-01,101.4516
2014-06-01,102.0152
2014-07-01,101.6829
2014-08-01,102.1569
2014-09-01,102.3814
2014-10-01,101.9119
2014-11-01,102.3295
2014-12-01,100.7801
2015-01-01,100.9874
2015-02-01,100.7501
2015-03-01,102.3178
2015-04-01,101.8089
2015-05-01,101.0541
2015-06-01,100.7049
2015-07-01,99.4293
2015-08-01,100.3734
2015-09-01,98.9864
2015-10-01,101.1035
2015-11-01,100.1392
2015-12-01,101.4683
2016-01-01,101.4338
2016-02-01,102.3886
2016-03-01,100.9113
2016-04-01,99.5644
2016-05-01,100.5151
2016-06-01,100.8501
2016-07-01,99.9237
2016-08-01,99.9180
2016-09-01,99.8725
2016-10-01,99.9863
2016-11-01,100.6304
2016-12-01,100.6065
2017-01-01,101.9439
2017-02-01,100.6056
2017-03-01,100.1236
2017-04-01,101.2031
2017-05-01,99.9544
2017-06-01,99.9913
2017-07-01,99.8478
2017-08-01,98.4503
2017-09-01,100.4828
2017-10-01,100.0025
2017-11-01,99.5076
2017-12-01,97.8870
2018-01-01,99.7917
2018-02-01,100.1683
2018-03-01,99.3179
2018-04-01,101.0039
2018-05-01,100.7446
2018-06-01,101.6714
2018-07-01,102.1424
2018-08-01,102.8213
2018-09-01,103.1133
2018-10-01,102.8004
2018-11-01,102.6055
2018-12-01,102.8661
2019-01-01,101.4912
2019-02-01,101.8715
2019-03-01,101.8644
2019-04-01,100.4901
2019-05-01,102.6115
2019-06-01,102.5502
2019-07-01,102.6165
2019-08-01,102.5904
2019-09-01,100.8494
2019-10-01,98.6868
2019-11-01,100.0751
2019-12-01,99.6158
2020-01-01,100.9303
2020-02-01,101.7635
2020-03-01,98.7874
2020-04-01,93.0035
2020-05-01,91.5080
2020-06-01,93.2588
2020-07-01,95.4751
2020-08-01,95.0437
2020-09-01,95.7225
2020-10-01,98.8340
2020-11-01,98.7354
2020-12-01,99.4102
2021-01-01,102.7233
2021-02-01,100.4021
2021-03-01,102.8077
2021-04-01,103.0521
2021-05-01,102.4503
2021-06-01,101.8841
2021-07-01,104.2255
2021-08-01,103.4612
2021-09-01,104.3778
2021-10-01,104.7608
2021-11-01,104.5832
2021-12-01,104.7250
2022-01-01,105.5055
2022-02-01,107.9246
2022-03-01,108.3947
2022-04-01,109.3019
2022-05-01,107.4159
2022-06-01,108.8548
2022-07-01,107.0247
2022-08-01,106.4395
2022-09-01,106.3575
2022-10-01,107.5572
2022-11-01,104.1990
2022-12-01,104.1025
2023-01-01,105.5046
