DATE,IPG333S
1972-01-01,59.1887
1972-02-01,60.4170
1972-03-01,60.5191
1972-04-01,61.8288
1972-05-01,63.2149
1972-06-01,64.0524
1972-07-01,64.3676
1972-08-01,65.1976
1972-09-01,65.6188
1972-10-01,66.8406
1972-11-01,67.7863
1972-12-01,68.6687
1973-01-01,69.5699
1973-02-01,70.9130
1973-03-01,71.7233
1973-04-01,72.3406
1973-05-01,73.3786
1973-06-01,73.5109
1973-07-01,74.5133
1973-08-01,75.0144
1973-09-01,75.6431
1973-10-01,76.4154
1973-11-01,76.6664
1973-12-01,77.4358
1974-01-01,77.8572
1974-02-01,77.5679
1974-03-01,78.3333
1974-04-01,76.5182
1974-05-01,78.1659
1974-06-01,78.3724
1974-07-01,77.3502
1974-08-01,77.2692
1974-09-01,78.1527
1974-10-01,78.3160
1974-11-01,77.1307
1974-12-01,74.8138
1975-01-01,73.4048
1975-02-01,71.3370
1975-03-01,69.2688
1975-04-01,68.4517
1975-05-01,66.0380
1975-06-01,64.7940
1975-07-01,65.3333
1975-08-01,65.2633
1975-09-01,65.7748
1975-10-01,66.3602
1975-11-01,66.5807
1975-12-01,66.7990
1976-01-01,67.7908
1976-02-01,68.1066
1976-03-01,68.4916
1976-04-01,69.2536
1976-05-01,69.6537
1976-06-01,69.7742
1976-07-01,70.8430
1976-08-01,71.8112
1976-09-01,72.0298
1976-10-01,71.3649
1976-11-01,72.6395
1976-12-01,72.5976
1977-01-01,72.0725
1977-02-01,73.7912
1977-03-01,74.3488
1977-04-01,74.9732
1977-05-01,75.5109
1977-06-01,75.8969
1977-07-01,76.9989
1977-08-01,78.6570
1977-09-01,78.9168
1977-10-01,79.4921
1977-11-01,80.1496
1977-12-01,80.6918
1978-01-01,78.7555
1978-02-01,80.1402
1978-03-01,81.0937
1978-04-01,81.4391
1978-05-01,81.2323
1978-06-01,82.4367
1978-07-01,82.2645
1978-08-01,83.1702
1978-09-01,83.3943
1978-10-01,85.2662
1978-11-01,85.8076
1978-12-01,87.1723
1979-01-01,87.1416
1979-02-01,87.8701
1979-03-01,87.9565
1979-04-01,86.8185
1979-05-01,88.1212
1979-06-01,88.7404
1979-07-01,88.7473
1979-08-01,87.3012
1979-09-01,88.0528
1979-10-01,86.4689
1979-11-01,84.9597
1979-12-01,85.0492
1980-01-01,88.3713
1980-02-01,87.2000
1980-03-01,86.7278
1980-04-01,85.3941
1980-05-01,83.6106
1980-06-01,80.5895
1980-07-01,80.4235
1980-08-01,78.8716
1980-09-01,80.0248
1980-10-01,80.8608
1980-11-01,81.6066
1980-12-01,82.1347
1981-01-01,82.3407
1981-02-01,81.0130
1981-03-01,81.7086
1981-04-01,82.4413
1981-05-01,82.6090
1981-06-01,82.7014
1981-07-01,83.0990
1981-08-01,82.8466
