DATE,IPG321S
1991-05-01,88.6275
1991-06-01,92.7184
1991-07-01,89.9142
1991-08-01,91.0003
1991-09-01,91.3085
1991-10-01,88.9892
1991-11-01,90.7559
1991-12-01,89.5436
1992-01-01,91.3710
1992-02-01,92.2841
1992-03-01,93.6895
1992-04-01,93.1922
1992-05-01,94.4798
1992-06-01,92.6912
1992-07-01,95.1009
1992-08-01,95.6524
1992-09-01,93.5171
1992-10-01,94.6834
1992-11-01,95.5724
1992-12-01,95.1264
1993-01-01,95.1347
1993-02-01,95.8864
1993-03-01,94.4613
1993-04-01,93.7310
1993-05-01,93.5490
1993-06-01,92.9008
1993-07-01,93.9065
1993-08-01,94.6466
1993-09-01,94.5831
1993-10-01,96.8404
1993-11-01,96.6635
1993-12-01,97.6888
1994-01-01,99.5932
1994-02-01,96.9763
1994-03-01,97.0381
1994-04-01,98.0338
1994-05-01,99.9662
1994-06-01,100.6259
1994-07-01,101.2739
1994-08-01,100.4307
1994-09-01,102.1653
1994-10-01,103.1279
1994-11-01,101.9110
1994-12-01,107.4687
1995-01-01,105.8175
1995-02-01,102.9200
1995-03-01,100.8800
1995-04-01,102.3287
1995-05-01,99.9457
1995-06-01,100.5101
1995-07-01,102.1747
1995-08-01,102.8105
1995-09-01,105.2008
1995-10-01,105.2174
1995-11-01,103.4637
1995-12-01,107.1697
1996-01-01,102.2267
1996-02-01,102.8362
1996-03-01,105.5180
1996-04-01,106.4779
1996-05-01,106.8752
1996-06-01,108.1089
1996-07-01,106.4027
1996-08-01,109.0483
1996-09-01,108.5039
1996-10-01,107.9092
1996-11-01,108.7954
1996-12-01,105.9323
1997-01-01,105.8591
1997-02-01,107.9089
1997-03-01,109.1248
1997-04-01,108.6302
1997-05-01,109.0799
1997-06-01,110.0867
1997-07-01,109.9982
1997-08-01,109.9881
1997-09-01,109.7951
1997-10-01,109.9788
1997-11-01,111.2649
1997-12-01,111.3925
1998-01-01,112.7068
1998-02-01,113.8364
1998-03-01,113.1718
1998-04-01,114.3421
1998-05-01,113.1623
1998-06-01,112.0665
1998-07-01,113.5461
1998-08-01,114.2249
1998-09-01,113.4782
1998-10-01,115.3156
1998-11-01,116.2231
1998-12-01,118.8642
1999-01-01,117.5297
1999-02-01,118.2855
1999-03-01,116.7618
1999-04-01,117.6938
1999-05-01,119.3302
1999-06-01,118.8109
1999-07-01,118.9652
1999-08-01,117.2824
1999-09-01,116.8866
1999-10-01,118.8415
1999-11-01,119.7222
1999-12-01,121.3880
2000-01-01,121.7086
2000-02-01,121.3042
2000-03-01,121.6750
2000-04-01,121.0021
2000-05-01,119.2215
2000-06-01,117.0759
2000-07-01,116.3798
2000-08-01,114.3232
2000-09-01,115.2771
2000-10-01,113.0124
2000-11-01,112.5714
2000-12-01,109.0817
2001-01-01,106.8838
2001-02-01,106.2342
2001-03-01,108.2692
2001-04-01,108.6567
2001-05-01,109.7138
2001-06-01,110.6348
2001-07-01,109.6252
2001-08-01,111.4812
2001-09-01,112.1662
2001-10-01,109.4840
2001-11-01,110.2111
2001-12-01,111.5918
2002-01-01,112.9395
2002-02-01,112.2625
2002-03-01,114.9652
2002-04-01,114.8152
2002-05-01,114.6278
2002-06-01,116.1221
2002-07-01,114.7243
2002-08-01,115.2233
2002-09-01,114.6234
2002-10-01,114.6763
2002-11-01,113.3750
2002-12-01,112.6728
2003-01-01,113.4769
2003-02-01,113.5585
2003-03-01,111.9846
2003-04-01,112.2888
2003-05-01,111.9500
2003-06-01,113.1445
2003-07-01,114.3013
2003-08-01,113.5581
2003-09-01,114.0759
2003-10-01,115.7456
2003-11-01,118.6627
2003-12-01,116.0988
2004-01-01,116.3617
2004-02-01,116.6798
2004-03-01,115.8311
2004-04-01,117.1197
2004-05-01,117.3661
2004-06-01,115.4099
2004-07-01,117.1845
2004-08-01,117.5163
2004-09-01,115.1827
2004-10-01,118.8144
2004-11-01,118.5824
2004-12-01,118.2360
2005-01-01,123.1643
2005-02-01,120.6230
2005-03-01,120.1779
2005-04-01,120.5499
2005-05-01,120.9051
2005-06-01,121.1657
2005-07-01,122.0856
2005-08-01,121.7894
2005-09-01,126.4306
2005-10-01,132.5623
2005-11-01,134.2829
2005-12-01,134.1435
2006-01-01,134.1036
2006-02-01,131.7918
2006-03-01,131.1009
2006-04-01,128.7944
2006-05-01,128.0921
2006-06-01,126.2312
2006-07-01,126.5668
2006-08-01,124.4440
2006-09-01,123.3499
2006-10-01,117.8420
2006-11-01,117.2943
2006-12-01,120.4816
2007-01-01,118.0790
2007-02-01,118.0794
2007-03-01,119.5183
2007-04-01,117.8567
2007-05-01,118.6720
2007-06-01,120.2485
2007-07-01,120.2453
2007-08-01,118.1126
2007-09-01,117.4483
2007-10-01,115.6224
2007-11-01,114.2321
2007-12-01,114.3911
2008-01-01,111.7347
2008-02-01,109.2970
2008-03-01,108.0534
2008-04-01,105.6880
2008-05-01,104.3478
2008-06-01,103.6031
2008-07-01,102.9981
2008-08-01,100.6627
2008-09-01,97.5870
2008-10-01,92.3857
2008-11-01,89.4863
2008-12-01,80.8631
2009-01-01,78.2134
2009-02-01,78.1326
2009-03-01,75.4855
2009-04-01,74.2134
2009-05-01,73.6661
2009-06-01,76.6151
2009-07-01,76.6286
2009-08-01,77.8985
2009-09-01,78.5270
2009-10-01,77.0992
2009-11-01,77.9681
2009-12-01,77.5246
2010-01-01,79.1656
2010-02-01,78.2267
2010-03-01,79.2623
2010-04-01,82.3325
2010-05-01,83.1966
2010-06-01,80.5857
2010-07-01,79.6172
2010-08-01,78.7070
2010-09-01,77.6651
2010-10-01,78.4386
2010-11-01,78.6060
2010-12-01,79.0145
2011-01-01,78.6666
2011-02-01,78.5712
2011-03-01,80.6444
2011-04-01,78.8018
2011-05-01,79.9803
2011-06-01,79.0019
2011-07-01,79.2370
2011-08-01,78.4694
2011-09-01,80.9251
2011-10-01,80.5096
2011-11-01,80.5676
2011-12-01,81.3851
2012-01-01,82.8995
2012-02-01,82.1463
2012-03-01,82.7320
2012-04-01,84.0592
2012-05-01,85.4865
2012-06-01,84.0442
2012-07-01,84.3505
2012-08-01,84.6666
2012-09-01,83.8655
2012-10-01,85.1778
2012-11-01,87.4373
2012-12-01,87.6095
2013-01-01,88.0689
2013-02-01,90.1390
2013-03-01,89.3124
2013-04-01,87.8285
2013-05-01,88.3520
2013-06-01,88.7809
2013-07-01,88.1079
2013-08-01,89.5207
2013-09-01,91.1593
2013-10-01,90.6109
2013-11-01,91.5468
2013-12-01,89.6711
2014-01-01,87.0668
2014-02-01,87.6453
2014-03-01,89.3262
2014-04-01,89.7776
2014-05-01,91.5179
2014-06-01,92.0297
2014-07-01,93.2194
2014-08-01,93.8586
2014-09-01,93.0147
2014-10-01,93.7688
2014-11-01,93.5974
2014-12-01,94.6075
2015-01-01,92.8545
2015-02-01,93.2813
2015-03-01,93.1581
2015-04-01,93.9101
2015-05-01,93.8880
2015-06-01,94.0831
2015-07-01,96.1218
2015-08-01,96.4788
2015-09-01,96.9764
2015-10-01,97.0267
2015-11-01,96.8206
2015-12-01,98.6684
2016-01-01,98.3921
2016-02-01,97.8215
2016-03-01,98.2123
2016-04-01,98.7593
2016-05-01,98.2459
2016-06-01,98.9747
2016-07-01,98.4820
2016-08-01,98.1091
2016-09-01,97.9629
2016-10-01,98.9558
2016-11-01,102.2126
2016-12-01,99.9851
2017-01-01,100.0997
2017-02-01,100.3593
2017-03-01,99.9805
2017-04-01,99.2999
2017-05-01,98.9236
2017-06-01,98.1143
2017-07-01,99.4535
2017-08-01,99.4907
2017-09-01,100.5093
2017-10-01,100.6133
2017-11-01,102.0767
2017-12-01,101.0791
2018-01-01,100.2113
2018-02-01,101.9761
2018-03-01,102.2428
2018-04-01,101.9321
2018-05-01,101.2809
2018-06-01,101.5599
2018-07-01,100.7699
2018-08-01,101.4230
2018-09-01,100.8664
2018-10-01,98.4892
2018-11-01,97.7301
2018-12-01,96.3716
2019-01-01,96.7409
2019-02-01,94.8109
2019-03-01,93.1887
2019-04-01,94.1877
2019-05-01,94.8890
2019-06-01,95.0881
2019-07-01,95.5188
2019-08-01,95.5214
2019-09-01,96.1599
2019-10-01,97.3415
2019-11-01,97.2652
2019-12-01,97.2987
2020-01-01,98.9604
2020-02-01,98.5821
2020-03-01,95.6460
2020-04-01,85.1021
2020-05-01,89.3279
2020-06-01,93.1893
2020-07-01,97.2527
2020-08-01,96.5078
2020-09-01,96.4111
2020-10-01,98.4031
2020-11-01,99.6675
2020-12-01,102.5881
2021-01-01,102.0967
2021-02-01,98.8116
2021-03-01,102.4772
2021-04-01,101.7507
2021-05-01,102.0536
2021-06-01,100.3452
2021-07-01,100.7991
2021-08-01,100.4100
2021-09-01,100.7564
2021-10-01,101.3255
2021-11-01,101.6452
2021-12-01,102.4525
2022-01-01,101.9465
2022-02-01,104.8157
2022-03-01,105.9301
2022-04-01,103.9469
2022-05-01,103.7835
2022-06-01,103.4238
2022-07-01,103.1393
2022-08-01,101.6555
2022-09-01,98.9232
2022-10-01,97.6187
2022-11-01,98.3943
2022-12-01,96.9989
2023-01-01,96.0554
